Kab kota,Ibu kota,Luas wilayah (km2),Jumlah penduduk (2022),IPM
Kabupaten Sukamara,Sukamara,3827,63464,5
Kota Palangka Raya,,"2399,5",293457,5
Kabupaten Balangan,Paringin,"1878,3",130355,8
Kabupaten Banjar,Martapura,4668,565635,20
Kabupaten Barito Kuala,Marabahan,"2996,46",313021,17
Kabupaten Hulu Sungai Selatan,Kandangan,"1804,94",228006,11
Kabupaten Hulu Sungai Tengah,Barabai,1472,258721,11
Kabupaten Hulu Sungai Utara,Amuntai,"892,7",226727,10
Kabupaten Kotabaru,Kotabaru,"9482,73",325622,21
Kabupaten Tabalong,Tanjung,"3766,97",253305,12
Kabupaten Tanah Bumbu,Batulicin,"5006,96",322646,10
Kabupaten Tanah Laut,Pelaihari,"3631,35",348966,11
Kabupaten Tapin,Rantau,"2700,82",189475,12
Kota Banjarbaru,,371,253442,5
Kota Banjarmasin,,72,657663,5
Kabupaten Berau,Tanjung Redeb,"36962,37",238214,13
Kabupaten Kutai Barat,Sendawar,"20384,6",165938,16
Kabupaten Kutai Kartanegara,Tenggarong,"27263,1",734485,18
Kabupaten Kutai Timur,Sangatta,"35747,5",424334,18
Kabupaten Mahakam Ulu,Ujoh Bilang,15315,35010,5
Kabupaten Paser,Tanah Grogot,"7730,88",277401,10
Kabupaten Penajam Paser Utara,Penajam,"3333,06",181349,4
Kota Balikpapan,,533,727655,6
Kota Bontang,,"149,8",185928,3
Kota Samarinda,,718,834824,10
Kabupaten Bulungan,Tanjung Selor,"13925,72",151800,10
Kabupaten Malinau,Malinau,"42620,7",82500,15
Kabupaten Nunukan,Nunukan,"13841,9",199090,21
Kabupaten Tana Tidung,Tideng Pale,"4828,58",25600,5
Kota Tarakan,,"250,8",242800,4
Kabupaten Bolaang Mongondow,Lolak,"5397,69",248751,15
Kabupaten Bolaang Mongondow Selatan,Bolaang Uki,"1932,6",69791,7
Kabupaten Bolaang Mongondow Timur,Tutuyan,"910,18",87241,7
Kabupaten Bolaang Mongondow Utara,Boroko,"1856,86",83112,6
Kabupaten Kepulauan Sangihe,Tahuna,"736,98",139262,15
Kabupaten Kepulauan Siau Tagulandang Biaro,Ondong Siau,"275,96",72135,10
Kabupaten Kepulauan Talaud,Melonguane,"1251,02",113521,19
Kabupaten Minahasa,Tondano,"1025,85",348670,25
Kabupaten Minahasa Selatan,Amurang,"1456,46",238740,17
Kabupaten Minahasa Tenggara,Ratahan,"730,63",117079,12
Kabupaten Minahasa Utara,Airmadidi,"1059,24",224993,10
Kota Bitung,,"313,51",225134,8
Kota Kotamobagu,,"184,33",125492,4
Kota Manado,,"162,53",476910,11
Kota Tomohon,,"147,21",100587,5
Kabupaten Banggai,Luwuk,"9672,7",382276,23
Kabupaten Banggai Kepulauan,Salakan,"2488,79",120142,12
Kabupaten Banggai Laut,Banggai,"725,67",70435,7
Kabupaten Buol,Buol,"4043,57",145254,11
Kabupaten Donggala,Banawa,"5275,69",304110,16
Kabupaten Morowali,Bungku Tengah,5472,176244,9
Kabupaten Morowali Utara,Kolonodale,"10004,28",128323,10
Kabupaten Parigi Moutong,Parigi,"6231,85",499086,23
Kabupaten Poso,Poso,"7112,25",248345,19
Kabupaten Sigi,Sigi Biromaru,"5196,02",259681,15
Kabupaten Tojo Una-Una,Ampana Kota,"5721,15",165574,12
Kabupaten Tolitoli,Baolan,"4079,77",228641,10
Kota Palu,,"395,06",372113,8
Kabupaten Bantaeng,Bantaeng,"395,83",196716,497
Kabupaten Barru,Barru,"1174,72",186910,159
Kabupaten Bone,Watampone,4559,801775,176
Kabupaten Bulukumba,Ujung Bulu,"1154,58",437610,379
Kabupaten Enrekang,Enrekang,"1786,01",225172,126
Kabupaten Gowa,Sungguminasa,"1883,33",768682,408
Kabupaten Jeneponto,Bontosunggu,"749,79",415462,554
Kabupaten Kepulauan Selayar,Benteng,"1357,03",137071,101
Kabupaten Luwu,Belopa,"2909,08",365608,126
Kabupaten Luwu Timur,Malili,"6944,88",305521,44
Kabupaten Luwu Utara,Masamba,"7502,58",327820,44
Kabupaten Maros,Turikale,"1619,12",403774,249
Kabupaten Pangkajene dan Kepulauan,Pangkajene,"898,29",352949,393
Kabupaten Pinrang,Watang Sawitto,"1961,77",414710,211
Kabupaten Sidenreng Rappang,Pangkajene Sidenreng,"1102,1",301972,274
Kabupaten Sinjai,Balangnipa,"819,96",268496,328
Kabupaten Soppeng,Watansoppeng,1500,236049,157
Kabupaten Takalar,Pattallassang,"566,51",304856,538
Kabupaten Tana Toraja,Makale,"2054,3",291046,142
Kabupaten Toraja Utara,Rantepao,"1151,47",268198,233
Kabupaten Wajo,Sengkang,"2506,19",379396,151
Kota Makassar,,"175,77",1571814,8943
Kota Palopo,,"247,52",190867,771
Kota Parepare,,"99,33",154854,1559
Kabupaten Bombana,Rumbia,"3316,16",150706,22
Kabupaten Buton,Pasarwajo,"1648,04",119353,7
Kabupaten Buton Selatan,Batauga,510,99173,7
Kabupaten Buton Tengah,Labungkari,958,118907,7
Kabupaten Buton Utara,Buranga,"1923,03",68553,6
Kabupaten Kolaka,Kota Kolaka,"3283,59",243832,12
Kabupaten Kolaka Timur,Tirawuta,"3992,53",125311,13
Kabupaten Kolaka Utara,Lasusua,3392,139319,15
Kabupaten Konawe,Kota Unaaha,"6087,68",266299,27
Kabupaten Konawe Kepulauan,Langara,"867,58",38849,7
Kabupaten Konawe Selatan,Andolo,"4237,74",317826,25
Kabupaten Konawe Utara,Wanggudu,"5101,76",62403,13
Kabupaten Muna,Kota Raha,"2057,69",223991,22
Kabupaten Muna Barat,Sawerigadi,"1022,89",84182,11
Kabupaten Wakatobi,Wangi-Wangi,"473,62",111402,8
